mapping_id,parent_category,leaf_category,sub_category,etranoulis_taxonomy_path,etranoulis_category_page_url,skroutz_product_url,etranoulis_product_url,etranoulis_category_serialized,notes
1,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > -,https://www.etranoulis.gr/eikona-hxos/thleoraseis,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις,
2,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,8K UHD,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > 8K UHD,https://www.etranoulis.gr/eikona-hxos/thleoraseis/8k-uhd,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///8K UHD,
3,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,OLED TV,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > OLED TV,https://www.etranoulis.gr/eikona-hxos/thleoraseis/oled-tv,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///OLED TV,
4,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,TCL,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > TCL,https://www.etranoulis.gr/eikona-hxos/thleoraseis/tileoraseis-tcl,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///TCL,
5,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,4K UHD,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > 4K UHD,https://www.etranoulis.gr/eikona-hxos/thleoraseis/4k-uhd,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///4K UHD,
6,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,Έως 32'',ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > Έως 32'',https://www.etranoulis.gr/eikona-hxos/thleoraseis/ews-32,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///Έως 32'',
7,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,33''-50'',ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > 33''-50'',https://www.etranoulis.gr/eikona-hxos/thleoraseis/33-50,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///33''-50'',
8,ΕΙΚΟΝΑ & ΗΧΟΣ,Τηλεοράσεις,50'' & άνω,ΕΙΚΟΝΑ & ΗΧΟΣ > Τηλεοράσεις > 50'' & άνω,https://www.etranoulis.gr/eikona-hxos/thleoraseis/50-anw,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις:::ΕΙΚΟΝΑ & ΗΧΟΣ///Τηλεοράσεις///50'' & άνω,
9,ΕΙΚΟΝΑ & ΗΧΟΣ,Φορητά,Ραδιόφωνα,ΕΙΚΟΝΑ & ΗΧΟΣ > Φορητά > Ραδιόφωνα,https://www.etranoulis.gr/eikona-hxos/foritsa/radiofwna,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Φορητά:::ΕΙΚΟΝΑ & ΗΧΟΣ///Φορητά///Ραδιόφωνα,
10,ΕΙΚΟΝΑ & ΗΧΟΣ,Φορητά,Radio CD,ΕΙΚΟΝΑ & ΗΧΟΣ > Φορητά > Radio CD,https://www.etranoulis.gr/eikona-hxos/foritsa/radio-cd,,,ΕΙΚΟΝΑ & ΗΧΟΣ:::ΕΙΚΟΝΑ & ΗΧΟΣ///Φορητά:::ΕΙΚΟΝΑ & ΗΧΟΣ///Φορητά///Radio CD,
